UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
157766,,,,,,,,91.0,,54.0,,,,,,5.0,1.0,1.0,,,,,13.0,13.0,1.0,0.0
157793,,,,,,,,454.0,,181.0,,,,,,70.0,,2.0,,,,27.0,3.0,158.0,,6.0
157809,,,,,,,,191.0,,99.0,,,,,,24.0,10.0,2.0,25.0,,,8.0,0.0,15.0,,
157818,,,,,,,,289.0,,97.0,,,,,,38.0,8.0,10.0,38.0,2.0,,29.0,,38.0,13.0,
157827,,,,,,,,6.0,,3.0,,,,,,1.0,,,,,,,,1.0,,
157854,,,,,,,,263.0,,,,,,,,67.0,61.0,42.0,41.0,,,,,34.0,,
157863,,,,,,,,174.0,,63.0,,,,,,22.0,8.0,8.0,35.0,,,8.0,2.0,24.0,,
157951,,,,,,,,2592.0,,912.0,,,,,,108.0,49.0,154.0,310.0,15.0,,301.0,12.0,426.0,101.0,40.0
158088,,,,,,,,127.0,,86.0,,,,,,13.0,16.0,1.0,,,,,,7.0,1.0,
158158,,,,,,,,7.0,,3.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,
158246,,,,,,,,24.0,,12.0,,,,,,3.0,,,,,,,,,,
158325,,,,,,,,14.0,,10.0,,,,,,,2.0,,,,,,,1.0,,
158334,,,,,,,,3.0,,2.0,,,,,,1.0,,,,,,,,0.0,,
158343,,,,,,,,8.0,,3.0,,,,,,1.0,2.0,,,,,,,2.0,,
158431,,,,,,,,443.0,,189.0,,,,,,46.0,71.0,5.0,1.0,,,29.0,,56.0,1.0,6.0
158440,,,,,,,,11.0,,5.0,,,,,,2.0,1.0,,,,,,2.0,2.0,,
158477,,,,,,,,180.0,,70.0,,,,,,37.0,2.0,4.0,29.0,,,,,21.0,,
158538,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
158617,,,,,,,,36.0,,16.0,,,,,,6.0,,,,,,,,,,
158644,,,,,,,,9.0,,4.0,,,,,,1.0,,,,,,,,1.0,,
158662,,,,,,,,1003.0,,543.0,,,,,,65.0,167.0,7.0,5.0,,,60.0,,89.0,22.0,
158723,,,,,,,,27.0,,13.0,,,,,,3.0,1.0,1.0,,,,1.0,2.0,6.0,,
158778,,,,,,,,5.0,,3.0,,,,,,1.0,,,,,,,,1.0,,
158787,,,,,,,,9.0,,6.0,,,,,,2.0,,,,,,,,1.0,,
158802,,,,,,,,320.0,,94.0,2.0,,,,,36.0,10.0,4.0,45.0,1.0,,58.0,1.0,60.0,5.0,4.0
158884,,,,,,,,133.0,,59.0,,,,,,10.0,10.0,3.0,5.0,,,10.0,,23.0,3.0,
159009,,,,,,,,549.0,,187.0,,,,,,50.0,45.0,13.0,53.0,1.0,,45.0,,90.0,18.0,5.0
159027,,,,,,,,12.0,,4.0,,,,,,1.0,,,,,,1.0,1.0,4.0,,
159197,,,,,,,,99.0,,49.0,,,,,,14.0,10.0,2.0,,,,,8.0,14.0,1.0,1.0
159319,,,,,,,,5.0,,2.0,,,,,,3.0,,,,,,,,,,
159328,,,,,,,,13.0,,5.0,,,,,,3.0,,,,,,0.0,,4.0,,
159373,,,,,,,,2011.0,,767.0,46.0,,,,,260.0,200.0,205.0,19.0,95.0,,186.0,,136.0,76.0,
159382,,,,,,,,230.0,,104.0,,,,,,21.0,10.0,5.0,22.0,1.0,,17.0,,33.0,7.0,
159391,,,,,,,,6297.0,,1338.0,292.0,262.0,,,,271.0,556.0,984.0,210.0,195.0,,656.0,6.0,901.0,345.0,9.0
159407,,,,,,,,165.0,,76.0,,,,,,13.0,6.0,5.0,5.0,,,14.0,,33.0,7.0,
159416,,,,,,,,301.0,,139.0,1.0,4.0,,,,48.0,10.0,8.0,13.0,,,28.0,,30.0,6.0,
159513,,,,,,,,18.0,,10.0,,,,,,1.0,1.0,,,,,,3.0,2.0,,
159522,,,,,,,,19.0,,9.0,,,,,,1.0,1.0,,,,,1.0,5.0,1.0,,
159531,,,,,,,,6.0,,4.0,,,,,,1.0,1.0,,,,,,,0.0,,
159568,,,,,,,,183.0,,79.0,,,,,,15.0,4.0,3.0,16.0,1.0,,4.0,,57.0,,
159601,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,2.0,,
159647,,,,,,,,990.0,,410.0,7.0,1.0,,,,43.0,19.0,42.0,85.0,13.0,,91.0,,153.0,49.0,14.0
159656,,,,,,,,850.0,,319.0,,14.0,,,,108.0,37.0,41.0,77.0,,,46.0,0.0,133.0,23.0,11.0
159717,,,,,,,,669.0,,302.0,1.0,,,,,44.0,31.0,29.0,65.0,5.0,,48.0,,106.0,18.0,
159939,,,,,,,,861.0,,314.0,4.0,,,,,180.0,150.0,46.0,27.0,3.0,,20.0,,57.0,2.0,
159948,,,,,,,,313.0,,116.0,,,,,,16.0,4.0,9.0,,,,50.0,,75.0,,
159966,,,,,,,,644.0,,269.0,,,,,,54.0,30.0,14.0,52.0,4.0,,58.0,1.0,82.0,33.0,2.0
159993,,,,,,,,809.0,,330.0,3.0,1.0,,,,34.0,35.0,27.0,85.0,28.0,,62.0,,127.0,34.0,18.0
160010,,,,,,,,146.0,,88.0,,,,,,7.0,23.0,,,,,6.0,,14.0,4.0,
160029,,,,,,,,27.0,,21.0,,,,,,,1.0,,,,,,,4.0,,
160038,,,,,,,,785.0,,328.0,,12.0,,,,72.0,20.0,33.0,50.0,9.0,,35.0,,127.0,24.0,6.0
160065,,,,,,,,138.0,,70.0,,,,,,18.0,4.0,8.0,0.0,0.0,,11.0,,18.0,,
160074,,,,,,,,205.0,,103.0,,,,,,16.0,8.0,3.0,11.0,3.0,,2.0,1.0,24.0,,
160117,,,,,,,,9.0,,2.0,,,,,,1.0,2.0,,,,,0.0,,2.0,,
160126,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,
160135,,,,,,,,3.0,,2.0,,,,,,0.0,,,,,,,,0.0,,
160199,,,,,,,,9.0,,5.0,,,,,,,1.0,,,,,,,1.0,,
160320,,,,,,,,274.0,,140.0,,,,,,18.0,10.0,,,,,13.0,63.0,20.0,,
