UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
136048,,,,,,,,5.0,,1.0,,,,,,1.0,,,,,,,,2.0,,
136066,,,,,,,,68.0,,30.0,,,,,,18.0,,1.0,,,,4.0,,11.0,,
136109,,,,,,,,24.0,,13.0,,,,,,3.0,,,,,,,5.0,3.0,,
136145,,,,,,,,125.0,,42.0,,0.0,,,,10.0,2.0,9.0,17.0,,,3.0,,27.0,7.0,
136172,,,,,,,,1877.0,,589.0,10.0,1.0,,,,317.0,69.0,90.0,79.0,9.0,,186.0,2.0,275.0,73.0,10.0
136206,,,,,,,,98.0,,42.0,,,,,,11.0,6.0,2.0,27.0,3.0,,,,5.0,,
136215,,,,,,,,4115.0,,1111.0,91.0,,,,,382.0,687.0,291.0,67.0,61.0,,272.0,3.0,749.0,32.0,
136233,,,,,,,,436.0,,156.0,,,,,,13.0,11.0,21.0,29.0,,,40.0,,105.0,16.0,
136288,,,,,,,,71.0,,23.0,,,,,,11.0,2.0,,,,,,,34.0,,
136303,,,,,,,,127.0,,75.0,,,,,,4.0,,,,,,7.0,,27.0,,
136330,,,,,,,,489.0,,208.0,,,,,,50.0,4.0,19.0,28.0,4.0,,22.0,,78.0,,
136358,,,,,,,,1572.0,,592.0,,,,,,35.0,23.0,61.0,164.0,5.0,,78.0,2.0,272.0,45.0,5.0
136400,,,,,,,,602.0,,252.0,,,,,,23.0,18.0,47.0,66.0,,,2.0,19.0,115.0,31.0,2.0
136473,,,,,,,,751.0,,320.0,,,,,,40.0,32.0,63.0,85.0,,,23.0,,144.0,22.0,2.0
136491,,,,,,,,101.0,,62.0,,,,,,3.0,8.0,,,,,,,16.0,10.0,
136516,,,,,,,,634.0,,230.0,,,,,,30.0,36.0,21.0,22.0,,,1.0,,116.0,16.0,1.0
136659,,,,,,,,39.0,,16.0,,,,,,1.0,,1.0,6.0,,,,,4.0,,1.0
136701,,,,,,,,42.0,,12.0,,,,,,10.0,1.0,1.0,,,,10.0,,5.0,3.0,
136765,,,,,,,,63.0,,43.0,,,,,,5.0,1.0,1.0,,1.0,,,,7.0,,
136774,,,,,,,,314.0,,109.0,,,,,,48.0,18.0,21.0,14.0,,,18.0,0.0,40.0,9.0,
136783,,,,,,,,7.0,,2.0,,,,,,2.0,2.0,,,,,,,1.0,,
136826,,,,,,,,93.0,,36.0,,,,,,4.0,4.0,1.0,,,,,,13.0,26.0,
136950,,,,,,,,716.0,,219.0,,,,,,62.0,56.0,36.0,86.0,8.0,,75.0,,104.0,28.0,6.0
137023,,,,,,,,119.0,,41.0,,,,,,8.0,,3.0,7.0,,,16.0,,31.0,1.0,
137032,,,,,,,,1372.0,,541.0,,,,,,141.0,83.0,43.0,133.0,7.0,,69.0,138.0,166.0,1.0,
137078,,,,,,,,2076.0,,868.0,,,,,,118.0,52.0,120.0,85.0,4.0,,149.0,6.0,444.0,68.0,23.0
137087,,,,,,,,188.0,,88.0,,,,,,2.0,3.0,,1.0,6.0,,30.0,,31.0,9.0,1.0
137096,,,,,,,,915.0,,399.0,,,,,,66.0,46.0,39.0,40.0,7.0,,80.0,,188.0,17.0,
137120,,,,,,,,241.0,,157.0,,,,,,10.0,,,,,,,,59.0,,
137148,,,,,,,,48.0,,25.0,,,,,,5.0,,,,,,,,17.0,1.0,
137209,,,,,,,,948.0,,383.0,,,,,,27.0,61.0,52.0,48.0,,,79.0,1.0,108.0,6.0,4.0
137245,,,,,,,,223.0,,155.0,,,,,,5.0,2.0,3.0,,,,17.0,,21.0,1.0,1.0
137272,,,,,,,,46.0,,12.0,,,,,,1.0,1.0,,,,,19.0,,,6.0,
137281,,,,,,,,480.0,,231.0,,,,,,42.0,10.0,16.0,19.0,,,29.0,1.0,105.0,2.0,0.0
137315,,,,,,,,347.0,,95.0,,,,,,18.0,21.0,12.0,24.0,,,36.0,,80.0,13.0,
137351,,,,,,,,6762.0,,1807.0,,,,,,314.0,734.0,560.0,578.0,859.0,,399.0,7.0,908.0,187.0,71.0
137476,,,,,,,,414.0,,119.0,,,,,,36.0,36.0,17.0,44.0,3.0,,39.0,,57.0,,
137537,,,,,,,,15.0,,8.0,,,,,,2.0,1.0,,,,,,2.0,2.0,,
137546,,,,,,,,883.0,,317.0,,,,,,91.0,57.0,33.0,90.0,12.0,,123.0,4.0,81.0,9.0,5.0
137564,,,,,,,,456.0,,157.0,,,,,,43.0,10.0,11.0,49.0,5.0,,52.0,,109.0,12.0,
137591,,,,,,,,43.0,,23.0,,,,,,6.0,1.0,,,,,2.0,,11.0,,
137713,,,,,,,,31.0,,16.0,,,,,,1.0,1.0,,,,,2.0,,6.0,,
137759,,,,,,,,965.0,,322.0,,1.0,,,,22.0,112.0,37.0,51.0,6.0,,110.0,2.0,246.0,6.0,
137777,,,,,,,,19.0,,10.0,,,,,,3.0,2.0,,,,,,,3.0,,
137801,,,,,,,,83.0,,25.0,,,,,,11.0,2.0,1.0,,,,,,43.0,,
137810,,,,,,,,46.0,,14.0,,,,,,10.0,1.0,,,,,,,21.0,,
137847,,,,,,,,750.0,,406.0,,,,,,61.0,56.0,3.0,63.0,5.0,,34.0,,79.0,,
137856,,,,,,,,25.0,,9.0,,,,,,2.0,1.0,1.0,,,,3.0,,5.0,,
137865,,,,,,,,45.0,,23.0,,,,,,5.0,1.0,,,,,3.0,,5.0,,
137953,,,,,,,,45.0,,18.0,,,,,,7.0,1.0,,7.0,,,,2.0,7.0,,
